xdata,ydata
71.42857142857143,
142.85714285714286,
214.28571428571428,
285.7142857142857,4.087711236585913
357.14285714285717,6.237399276721105
428.57142857142856,
500.0,
571.4285714285714,8.974304031830167
642.8571428571429,
714.2857142857143,10.651613535779509
785.7142857142858,11.070584281389198
857.1428571428571,11.380063645343116
928.5714285714286,12.206743039860504
1000.0,
1071.4285714285716,13.108723871155497
1142.857142857143,13.606547859961061
1214.2857142857142,
1285.7142857142858,14.345425555489612
1357.142857142857,14.73925839644398
1428.5714285714287,14.960339733658055
1500.0,15.182033199942099
1571.4285714285716,15.367850026789169
1642.857142857143,15.614980080717608
1714.2857142857142,15.923985845953116
1785.7142857142858,16.117756983442515
1857.142857142857,16.274174031744643
1928.5714285714287,16.56973399257611
2000.0,16.64228421333702
2071.4285714285716,16.796546505611904
2142.857142857143,17.087546105473322
2214.285714285714,17.15124969725294
2285.714285714286,17.305155936277934
2357.1428571428573,17.41486992516613
2428.5714285714284,17.573341897051183
2500.0,17.75604355613506
2571.4285714285716,17.80579460844712
2642.857142857143,17.956005509960516
2714.285714285714,18.070469931715703
2785.714285714286,18.193738317290713
2857.1428571428573,18.247359301661852
2928.5714285714284,18.394146851371037
3000.0,
3071.4285714285716,18.46543974353763
3142.857142857143,18.563698595055286
3214.285714285714,18.581871745650503
3285.714285714286,18.687947243662062
3357.1428571428573,18.73673296005434
3428.5714285714284,18.75104000498466
3500.0,18.878552009833154
3571.4285714285716,18.86107290746081
3642.857142857143,18.946978869959008
3714.285714285714,18.986153328290495
3785.714285714286,19.015784565453906
3857.1428571428573,19.07745039865405
3928.571428571429,19.029152607749403
4000.0,19.07364739850576
4071.4285714285716,19.197770584883692
4142.857142857143,19.150164025152954
4214.285714285715,19.188853144035054
4285.714285714286,19.275182340256592
4357.142857142857,19.265647536222534
4428.571428571428,19.2342016345656
4500.0,19.276418533473286
4571.428571428572,19.520140220853918
4642.857142857143,19.322979107765487
4714.285714285715,19.4002968389834
4785.714285714286,19.53992945672659
4857.142857142857,19.531958006843
4928.571428571428,19.695185692429607
5000.0,19.414124698080474
